t,T_local,alpha_t,F_t,tau_t,V_t,C_t
1,14.210377947889533,0.2688976988040376,0.010277747261942088,0.5996639854044075,147.80328112162488,1012.0
2,18.48682738376916,0.30576850703655306,0.010617657894235936,0.6116399780767274,201.09079221822174,1024.4743064453687
3,21.71238604624221,0.29424664160767594,0.010969382177449387,0.6268966138988828,247.16971068690015,1037.7805558293783
4,24.524272850256274,0.32814463511160785,0.011354792190154594,0.6337124053102875,292.96325745924656,1052.0535016362535
5,27.438808636354672,0.38553728802609516,0.011800167169541185,0.6432310179509405,345.5387613664742,1067.1939668957646
6,30.040699999117844,0.35700468880058517,0.01224590159976129,0.6761342219517769,398.5542347898103,1083.3944697791721
7,33.02944174855255,0.32524815639553745,0.012716515944101663,0.7299898256921176,462.5821778991713,1101.3352073420856
8,34.3262192081692,0.29786408131136655,0.01318080751737291,0.718792695918398,507.54742135800933,1121.7824365737267
9,35.35711365291135,0.26937580608486583,0.013601907248858932,0.7042225568756979,549.7148884346469,1143.0385718382554
10,36.725765707875084,0.29555542470141377,0.014060694409085837,0.6895340959000736,601.5612270199699,1164.936378773874
11,37.66616364708797,0.33915834099023706,0.014622695352700568,0.7042364548349871,654.0661555234287,1187.5252598390716
12,38.63237531053174,0.30524656707815806,0.01513834740013805,0.6947993490752337,708.8044847325466,1211.9831385287682
13,39.464167914310174,0.31124348385,0.015735055973127143,0.7427932853511654,768.4382460249898,1237.478691968348
14,39.194149061939136,0.28119351592861574,0.016324545129581914,0.7583874224939269,810.2801431753354,1266.4057313319431
15,39.01447206521046,0.2885787738458377,0.016938725425320617,0.7513095525715046,857.6335748429558,1297.762772318323
16,38.939935054960294,0.32993131607533915,0.01765255406186796,0.7444476301292483,914.7735797838767,1330.7940175602716
17,38.51339100822842,0.31244646409722737,0.018382239911915225,0.7622279951989126,966.9145172251788,1365.7710159868886
18,37.46835403117737,0.2649925876014426,0.019113059556059214,0.7939590575580645,1005.4848142468726,1404.0439021025677
19,36.61976654953229,0.3097874600534323,0.020020964677044607,0.8810996130157258,1060.6351669189592,1446.6565973303389
20,35.56577226905894,0.30645403318676073,0.020972742420567035,0.875740079127807,1117.149079432017,1497.6959852444654
21,34.85908496481204,0.33772368891633686,0.021991159953693377,0.8535940076835236,1190.2956650987521,1552.7113644027281
22,33.335013337466535,0.2638778084555756,0.022894832978562932,0.8490804035664461,1229.5182173194592,1611.0048765890397
23,32.14731962330566,0.4141375017804031,0.024180012779898064,0.8629411194663229,1300.9576582127124,1673.6393092551011
24,30.68758864039856,0.2862041005399151,0.02522854241235876,0.8490441321728486,1349.8102937980434,1743.4833815517215
25,29.328104473212285,0.3835382283829481,0.02658230793326217,0.8775387442204411,1417.4648362008543,1818.1747183605726
26,27.542831719563516,0.3232467421241078,0.027905184842439715,0.8965464926333047,1462.6224954721918,1902.9998602972066
27,25.585979629673606,0.1924507189523035,0.028951964798865915,0.8816965311950746,1480.209822071501,1998.2194863482746
28,23.82591955399614,0.3636840142440758,0.03060582725695268,0.9151191702746417,1531.517227844362,2100.235972287138
29,21.13037249376873,0.63008127121329,0.033788933706108824,0.917572844458212,1583.5078248000966,2217.8827033297757
30,18.31091355672188,0.7100981968544241,0.03758733517492778,0.9247263689886445,1621.129669811828,2355.408322383784
31,15.879708793234606,0.6519690909543252,0.04172274926231607,0.9519187563805344,1669.0484473082554,2519.146887210828
32,13.751174350021698,0.6045089964245441,0.04605477540199687,0.9455584752563894,1722.1214425170215,2719.251126273125
33,11.841161454653475,0.5571114518267657,0.05062105000006585,0.9439552238404427,1771.91242657738,2956.084211789223
34,10.07951106604744,0.6281629380160082,0.05614915272567933,0.9803337342444121,1832.900195097252,3238.5912948419914
35,8.419725147114749,0.6340623209549034,0.06231063478680523,1.0,1886.1418586221364,3595.127218257891
36,6.955944168287942,0.5130132696381985,0.06841139053609314,1.0,1923.999972494259,4043.1565364758317
37,5.684445908480234,0.5763280754487649,0.07558096345688389,1.0,1974.7580180761963,4596.352458106643
38,4.564844388272435,0.5822616693031902,0.0835962080226045,1.0,2019.1207725481565,5291.145952448876
39,3.5998520022182494,0.590697976103852,0.0924184922559783,1.0,2054.639929133183,6175.7854278866325
40,2.7898962906325355,0.6828370739037736,0.10301697316882313,1.0,2103.040543833549,7317.298983370081
41,2.1339846602971044,0.6541233437218338,0.11460324260910026,1.0,2158.2340089759605,8824.910969446266
42,1.5956933480080673,0.6743849901645322,0.12758077876984594,1.0,2208.3599329837784,10847.637795116587
43,1.179108159236339,0.6618767952821951,0.1420122403667117,1.0,2279.891757558894,13615.537950544965
44,0.8438937473079431,0.6280937087965927,0.1575147225777573,0.9955965534438506,2323.897831104454,17482.68404685472
45,0.5898038800332966,0.7189443262655482,0.17595616044276305,1.0,2383.4020694863143,22965.99205472638
46,0.4040878980905902,0.53015482557717,0.19358251887461,1.0,2428.7103129652673,31048.007620143693
47,0.2671802701394127,0.652770351894072,0.21541141120196883,1.0,2478.762749962449,43068.71066243469
48,0.17085314226893397,0.7188723184640375,0.24066891221250622,0.980603431060219,2533.9071383030364,61623.69414732337
49,0.10748071233106436,0.6277680600029871,0.2666181480009745,0.9932551210325132,2599.418658058262,90710.17158414765
50,0.1,0.5972738848898778,0.19543081157119177,0.9853533561290383,2659.1343675678054,136065.25737622147
