t,T_local,T_network,alpha_t,F_t,tau_t,V_t,C_t,alpha_spread,temporal_dilation_delta_local,temporal_dilation_delta_network,F_spread
1,15.525731889108812,25.87621981518135,0.30371661470514794,0.010364471876384592,0.6988737739359008,163.57112571511746,1016.5,0.03481891590111036,1.3153539412192785,11.665841867291817,8.672461444250365e-05
2,19.866465603114584,33.11077600519097,0.3088719478073301,0.010627320460468881,0.7332923477135254,218.2735236774471,1033.8479553272166,0.003103440770777066,1.3796382193454235,14.62394862142181,9.662566232944772e-06
3,23.12415714443907,38.540261907398445,0.2923529707478142,0.010826394750965187,0.7484422061760282,263.6383741961259,1053.0739130712395,-0.0018936708598617513,1.411771098196862,16.827875861156237,-0.00014298742648419932
4,26.8173683930699,44.69561398844983,0.35114089966307893,0.011122468624668461,0.7715816456941867,320.2112290308582,1073.5424208703917,0.02299626455147108,2.2930955428136244,20.171341138193554,-0.00023232356548613317
5,30.193193462793182,50.3219891046553,0.39575057365074184,0.011469120491607818,0.787853857782483,379.46676987319654,1095.8082994376034,0.010213285624646684,2.7543848264385105,22.88318046830063,-0.0003310466779333672
6,33.256760405934486,55.427934009890805,0.36873845314149956,0.011790711952515806,0.8179596355525319,439.1196521761441,1119.857859815721,0.011733764340914388,3.2160604068166414,25.38723401077296,-0.00045518964724548285
7,35.36163117817761,58.936051963629346,0.28601530498593536,0.01196727590765076,0.8132083335480856,485.1011415482213,1146.316919500247,-0.03923285140960209,2.3321894296250605,25.906610215076796,-0.000749240036450903
8,35.86119059355227,59.768650989253786,0.29659243068255287,0.012583299463306906,0.8377416743226831,529.5945072375599,1173.611173948018,-0.0012716506288136809,1.5349713853830735,25.442431781084586,-0.0005975080540660035
9,37.956441162393155,63.26073527065525,0.3056573956334673,0.012830203739548244,0.8573578833970724,586.3738920755031,1204.0806765293246,0.036281589548601445,2.599327509481803,27.9036216177439,-0.0007717035093106877
10,38.72980687299592,64.54967812165987,0.3178815705093996,0.013547502834098347,0.8460213537447527,648.9727200179874,1236.8637443677912,0.02232614580798581,2.0040411651208387,27.823912413784782,-0.0005131915749874896
11,40.39982766128744,67.33304610214573,0.35910704027074125,0.013865336918516033,0.8669652453552489,712.4372021129572,1271.8522124960905,0.01994869928050419,2.7336640141994692,29.66688245505776,-0.0007573584341845352
12,41.194406972584,68.65734495430665,0.28964171735129257,0.014095340505217107,0.897780278762122,760.5241671409307,1309.7825262857148,-0.015604849726865488,2.562031662052256,30.02496964377491,-0.001043006894920942
13,40.85403693137362,68.09006155228936,0.3197014882619133,0.014938827301402743,0.9079559212308806,824.6519764102957,1351.1987049981647,0.0084580044119133,1.3898690170634467,28.625893637979182,-0.0007962286717243996
14,41.46748676796892,69.11247794661486,0.32264144746663975,0.015256656196819289,0.9395895094801016,883.8809593161546,1397.0974627775895,0.04144793153802401,2.2733377060297855,29.918328884675724,-0.0010678889327626253
15,41.26541760957869,68.77569601596448,0.3576941887868472,0.016256424143196696,0.933271844720814,971.0826509820508,1447.587848438796,0.06911541494100953,2.2509455443682285,29.761223950754022,-0.0006823012821239212
16,41.49025901097386,69.15043168495643,0.34364059782004186,0.016611554527439187,0.918079003687749,1035.8150272277862,1502.885122292232,0.013709281744702706,2.550323956013564,30.210496629996136,-0.0010409995344287729
17,39.51436204498492,65.85727007497486,0.3015076502338448,0.01757024728853314,0.9154978971103102,1083.3576394406664,1560.4109941293411,-0.01093881386338258,1.0009710367565035,27.343879066746446,-0.0008119926233820865
