epoch,supply,mint,burn,net_change,inflation_rate,F_t,L_t,tau_t,gamma_t,TV_t,staking_apy,time_violence
0,1000000.0,0.0,0.0,0.0,0.0,0.01,1.2,0.6,0.05,0.2,6.0,0.2
1,670593.2893659354,12868.114539619024,342274.8251736836,-329406.71063406457,-49.121683121154966,0.010327721836416302,1.2459780330493713,0.6229890165246856,0.06123029856408026,0.3422748251736836,6.229890165246857,0.3422748251736836
2,414364.1100865547,9511.82735773263,265741.0066371133,-256229.17927938065,-61.83672114504755,0.010671085929774775,1.3292177707849042,0.6646088853924521,0.06378161599920132,0.3962774618403635,6.646088853924523,0.3962774618403635
3,258953.99910817842,6069.168532025438,161479.27951040174,-155410.1109783763,-60.014563016442736,0.01100651168944429,1.3307527307320073,0.6653763653660036,0.05374615686357862,0.3897038270922427,6.653763653660036,0.3897038270922427
4,161679.1216934626,3803.947991704203,101078.82540642002,-97274.87741471581,-60.16539204062801,0.011459711981607612,1.281853063390731,0.6409265316953655,0.043748665884811036,0.3903350624223964,6.409265316953655,0.3903350624223964
5,122193.05496056864,2419.047914390968,41905.11464728492,-39486.06673289395,-32.31449344288511,0.01182202392184681,1.2656064967151994,0.6328032483575997,0.026250762282977017,0.25918692660104503,6.328032483575997,0.25918692660104503
6,110464.83847840148,1937.397571672465,13665.614053839623,-11728.216482167158,-10.61714898941377,0.012306107034895666,1.288402444510293,0.6442012222551465,0.01037820419254475,0.11183625827383953,6.442012222551466,0.11183625827383953
7,93872.10301892311,1775.7229153888552,18368.45837486722,-16592.735459478365,-17.675896167079088,0.012733162935890304,1.262451901864856,0.631225950932428,0.014097363956746992,0.1662833045146641,6.312259509324279,0.1662833045146641
8,57952.2799366128,1555.1985066985271,37475.02158900884,-35919.82308231031,-61.98172551899388,0.013164493386650572,1.2584765643264368,0.6292382821632184,0.03221040940616167,0.3992136149485697,6.292382821632185,0.3992136149485697
9,46651.52110857679,1041.238500962265,12341.997328998277,-11300.758828036012,-24.22377354370636,0.013699894641141082,1.3114823932890478,0.6557411966445239,0.01778093196583528,0.2129682791168482,6.557411966445241,0.2129682791168482
10,36046.37977571857,852.819850341126,11457.961183199342,-10605.141332858217,-29.420822281859255,0.014298735766460485,1.2784797423910625,0.6392398711955313,0.018971451127942986,0.2456074509667557,6.392398711955312,0.2456074509667557
11,29605.108611173233,692.4093491898482,7133.680513735182,-6441.271164545334,-21.757296178654588,0.014844966711629291,1.2939635453269458,0.6469817726634729,0.015063269059255802,0.19790282847046256,6.469817726634728,0.19790282847046256
12,20445.792353262463,588.9581157000721,9748.274373610842,-9159.31625791077,-44.79804988555139,0.015354360661726305,1.295644972872902,0.647822486436451,0.02512816441551938,0.3292767644139551,6.47822486436451,0.3292767644139551
13,15775.234491799554,435.6123120450311,5106.1701735079405,-4670.557861462909,-29.606899750940673,0.016034479821371055,1.3287440255706227,0.6643720127853113,0.019764525169804276,0.24974185814291355,6.643720127853115,0.24974185814291355
14,11042.145374099517,363.82959238563666,5096.918710085673,-4733.089117700037,-42.863854417294505,0.016591181644471893,1.3900962705974986,0.6950481352987493,0.028100873843985838,0.3230962248285568,6.950481352987493,0.3230962248285568
